author,price,rating,scraped_at,tags,title,url
,£53.13,,2025-08-09T08:04:37Z,,Aladdin and His Wonderful Lamp,https://books.toscrape.com/catalogue/aladdin-and-his-wonderful-lamp_973/index.html
,£40.30,,2025-08-09T08:04:37Z,,Worlds Elsewhere: Journeys Around Shakespeare’s Globe,https://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html
,£44.18,,2025-08-09T08:04:37Z,,Wall and Piece,https://books.toscrape.com/catalogue/wall-and-piece_971/index.html
,£17.66,,2025-08-09T08:04:37Z,,The Four Agreements: A Practical Guide to Personal Freedom,https://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html
,£31.05,,2025-08-09T08:04:37Z,,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,https://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html
,£23.82,,2025-08-09T08:04:37Z,,The Elephant Tree,https://books.toscrape.com/catalogue/the-elephant-tree_968/index.html
,£36.89,,2025-08-09T08:04:37Z,,The Bear and the Piano,https://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html
,£15.94,,2025-08-09T08:04:37Z,,Sophie's World,https://books.toscrape.com/catalogue/sophies-world_966/index.html
,£33.29,,2025-08-09T08:04:37Z,,Penny Maybe,https://books.toscrape.com/catalogue/penny-maybe_965/index.html
,£18.02,,2025-08-09T08:04:37Z,,Maude (1883-1993):She Grew Up with the country,https://books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/index.html
,£19.63,,2025-08-09T08:04:37Z,,"In a Dark, Dark Wood",https://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html
,£52.22,,2025-08-09T08:04:37Z,,Behind Closed Doors,https://books.toscrape.com/catalogue/behind-closed-doors_962/index.html
,£33.63,,2025-08-09T08:04:37Z,,You can't bury them all: Poems,https://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html
,£57.31,,2025-08-09T08:04:37Z,,Slow States of Collapse: Poems,https://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html
,£26.41,,2025-08-09T08:04:37Z,,Reasons to Stay Alive,https://books.toscrape.com/catalogue/reasons-to-stay-alive_959/index.html
,£47.61,,2025-08-09T08:04:37Z,,Private Paris (Private #10),https://books.toscrape.com/catalogue/private-paris-private-10_958/index.html
,£23.11,,2025-08-09T08:04:37Z,,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,https://books.toscrape.com/catalogue/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html
,£45.07,,2025-08-09T08:04:37Z,,Without Borders (Wanderlove #1),https://books.toscrape.com/catalogue/without-borders-wanderlove-1_956/index.html
,£31.77,,2025-08-09T08:04:37Z,,When We Collided,https://books.toscrape.com/catalogue/when-we-collided_955/index.html
,£50.27,,2025-08-09T08:04:37Z,,"We Love You, Charlie Freeman",https://books.toscrape.com/catalogue/we-love-you-charlie-freeman_954/index.html
,£14.27,,2025-08-09T08:04:37Z,,Untitled Collection: Sabbath Poems 2014,https://books.toscrape.com/catalogue/untitled-collection-sabbath-poems-2014_953/index.html
,£44.18,,2025-08-09T08:04:37Z,,"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",https://books.toscrape.com/catalogue/unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html
,£18.78,,2025-08-09T08:04:37Z,,Unicorn Tracks,https://books.toscrape.com/catalogue/unicorn-tracks_951/index.html
,£25.52,,2025-08-09T08:04:37Z,,"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",https://books.toscrape.com/catalogue/unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html
,£16.28,,2025-08-09T08:04:37Z,,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),https://books.toscrape.com/catalogue/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html
,£31.12,,2025-08-09T08:04:37Z,,Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,https://books.toscrape.com/catalogue/throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html
,£19.49,,2025-08-09T08:04:37Z,,This One Summer,https://books.toscrape.com/catalogue/this-one-summer_947/index.html
,£17.27,,2025-08-09T08:04:37Z,,Thirst,https://books.toscrape.com/catalogue/thirst_946/index.html
,£19.09,,2025-08-09T08:04:37Z,,The Torch Is Passed: A Harding Family Story,https://books.toscrape.com/catalogue/the-torch-is-passed-a-harding-family-story_945/index.html
,£56.13,,2025-08-09T08:04:37Z,,The Secret of Dreadwillow Carse,https://books.toscrape.com/catalogue/the-secret-of-dreadwillow-carse_944/index.html
,£56.41,,2025-08-09T08:04:37Z,,"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",https://books.toscrape.com/catalogue/the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html
,£56.50,,2025-08-09T08:04:37Z,,The Past Never Ends,https://books.toscrape.com/catalogue/the-past-never-ends_942/index.html
,£45.22,,2025-08-09T08:04:37Z,,The Natural History of Us (The Fine Art of Pretending #2),https://books.toscrape.com/catalogue/the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html
